
央视频道,#genre#
CCTV1,http://183.145.74.110:7777/udp/233.50.201.118:5140
CCTV1,http://125.123.140.111:8888/udp/233.50.201.118:5140
CCTV1,http://125.113.165.33:8888/udp/233.50.201.118:5140
CCTV2,http://125.123.140.111:8888/udp/233.50.201.119:5140
CCTV2,http://183.145.74.110:7777/udp/233.50.201.119:5140
CCTV2,http://125.113.165.33:8888/udp/233.50.201.119:5140
CCTV3,http://183.145.74.110:7777/udp/233.50.201.196:5140
CCTV3,http://125.123.140.111:8888/udp/233.50.201.196:5140
CCTV3,http://125.113.165.33:8888/udp/233.50.201.196:5140
CCTV4,http://125.123.140.111:8888/udp/233.50.201.4:5140
CCTV4,http://125.113.165.33:8888/udp/233.50.201.4:5140
CCTV4,http://183.145.74.110:7777/udp/233.50.201.4:5140
CCTV5,http://125.113.165.33:8888/udp/233.50.201.197:5140
CCTV5,http://183.145.74.110:7777/udp/233.50.201.197:5140
CCTV5,http://125.123.140.111:8888/udp/233.50.201.197:5140
CCTV5+,http://183.145.74.110:7777/udp/233.50.201.220:5140
CCTV5+,http://125.123.140.111:8888/udp/233.50.201.220:5140
CCTV5+,http://125.113.165.33:8888/udp/233.50.201.220:5140
CCTV6,http://125.123.140.111:8888/udp/233.50.201.198:5140
CCTV6,http://183.145.74.110:7777/udp/233.50.201.198:5140
CCTV6,http://125.113.165.33:8888/udp/233.50.201.198:5140
CCTV7,http://183.145.74.110:7777/udp/233.50.201.120:5140
CCTV7,http://125.113.165.33:8888/udp/233.50.201.120:5140
CCTV7,http://125.123.140.111:8888/udp/233.50.201.120:5140
CCTV8,http://125.113.165.33:8888/udp/233.50.201.199:5140
CCTV8,http://125.123.140.111:8888/udp/233.50.201.199:5140
CCTV8,http://183.145.74.110:7777/udp/233.50.201.199:5140
CCTV9,http://125.123.140.111:8888/udp/233.50.201.121:5140
CCTV9,http://125.113.165.33:8888/udp/233.50.201.121:5140
CCTV9,http://183.145.74.110:7777/udp/233.50.201.121:5140
CCTV10,http://183.145.74.110:7777/udp/233.50.201.122:5140
CCTV10,http://125.123.140.111:8888/udp/233.50.201.122:5140
CCTV10,http://125.113.165.33:8888/udp/233.50.201.122:5140
CCTV11,http://183.145.74.110:7777/udp/233.50.201.11:5140
CCTV11,http://125.123.140.111:8888/udp/233.50.201.11:5140
CCTV11,http://125.113.165.33:8888/udp/233.50.201.11:5140
CCTV12,http://183.145.74.110:7777/udp/233.50.201.123:5140
CCTV12,http://125.113.165.33:8888/udp/233.50.201.123:5140
CCTV12,http://125.123.140.111:8888/udp/233.50.201.123:5140
CCTV13,http://125.123.140.111:8888/udp/233.50.201.246:5140
CCTV13,http://183.145.74.110:7777/udp/233.50.201.246:5140
CCTV13,http://125.113.165.33:8888/udp/233.50.201.246:5140
CCTV14,http://125.123.140.111:8888/udp/233.50.201.124:5140
CCTV14,http://125.113.165.33:8888/udp/233.50.201.124:5140
CCTV14,http://183.145.74.110:7777/udp/233.50.201.124:5140
CCTV15,http://125.123.140.111:8888/udp/233.50.201.15:5140
CCTV15,http://183.145.74.110:7777/udp/233.50.201.15:5140
CCTV15,http://125.113.165.33:8888/udp/233.50.201.15:5140
CCTV16,http://183.145.74.110:7777/udp/233.50.201.192:5140
CCTV16,http://125.123.140.111:8888/udp/233.50.201.192:5140
CCTV16,http://125.113.165.33:8888/udp/233.50.201.192:5140
CCTV17,http://125.113.165.33:8888/udp/233.50.201.35:5140
CCTV17,http://183.145.74.110:7777/udp/233.50.201.35:5140
CCTV17,http://125.123.140.111:8888/udp/233.50.201.35:5140

卫视频道,#genre#
湖南卫视,http://125.113.165.33:8888/udp/233.50.201.103:5140
湖南卫视,http://125.123.140.111:8888/udp/233.50.201.103:5140
湖南卫视,http://183.145.74.110:7777/udp/233.50.201.103:5140
浙江卫视,http://125.123.140.111:8888/udp/233.50.201.100:5140
浙江卫视,http://183.145.74.110:7777/udp/233.50.201.100:5140
浙江卫视,http://125.113.165.33:8888/udp/233.50.201.100:5140
江苏卫视,http://183.145.74.110:7777/udp/233.50.201.106:5140
江苏卫视,http://125.113.165.33:8888/udp/233.50.201.106:5140
江苏卫视,http://125.123.140.111:8888/udp/233.50.201.106:5140
东方卫视,http://183.145.74.110:7777/udp/233.50.201.125:5140
东方卫视,http://125.113.165.33:8888/udp/233.50.201.125:5140
东方卫视,http://125.123.140.111:8888/udp/233.50.201.125:5140
重庆卫视,http://125.123.140.111:8888/udp/233.50.201.143:5140
重庆卫视,http://125.113.165.33:8888/udp/233.50.201.143:5140
重庆卫视,http://183.145.74.110:7777/udp/233.50.201.143:5140
深圳卫视,http://183.145.74.110:7777/udp/233.50.201.101:5140
深圳卫视,http://125.123.140.111:8888/udp/233.50.201.101:5140
